"True Tool wear
TWmax","Predicted Tool wear
TWmax"
0.324,0.32043000000000066
0.213,0.2382000000000001
0.415,0.4144499999999994
0.28600000000000003,0.2836000000000004
0.213,0.2382000000000001
0.36,0.36103999999999964
0.445,0.4204000000000002
0.311,0.31951999999999997
0.379,0.3834700000000001
0.34,0.33492999999999995
0.316,0.31771999999999967
0.379,0.3834700000000001
0.33,0.3211099999999994
0.26,0.26342000000000043
0.26,0.26342000000000043
0.424,0.42219999999999963
0.29600000000000004,0.2954099999999996
0.221,0.26178000000000007
0.226,0.23122
0.34299999999999997,0.33985
0.312,0.3122900000000003
0.312,0.3122900000000003
0.221,0.26178000000000007
0.293,0.2918799999999995
0.221,0.26178000000000007
