"True Tool wear
TWmax","Predicted Tool wear
TWmax",Std
0.34,0.33716043911358673,0.0020078727583749244
0.424,0.41760912682338636,0.004519029760886711
0.221,0.22058651088535902,0.00029238095690945886
0.415,0.3792749946664994,0.025261393529243847
0.312,0.31955004890384126,0.0053386907781962116
0.226,0.22750834611056475,0.0010665617631566856
0.213,0.24667397346065378,0.023811094983524128
0.34,0.33716043911358673,0.0020078727583749244
0.324,0.3263915999002362,0.0016911165073420773
0.237,0.2555332476301469,0.013104985076686391
0.415,0.3792749946664994,0.025261393529243847
0.293,0.290777093593516,0.001571832193967844
0.299,0.29719545599832947,0.0012760053005307305
0.36,0.3694728599287412,0.006698323492843214
0.324,0.3263915999002362,0.0016911165073420773
0.34299999999999997,0.32314667705591127,0.014038419282851593
0.386,0.3925573039732879,0.004636714105813372
0.221,0.22058651088535902,0.00029238095690945886
0.363,0.3582450809886596,0.003362235476911629
0.272,0.2900273627480948,0.012747270446087587
0.36,0.3694728599287412,0.006698323492843214
0.424,0.41760912682338636,0.004519029760886711
0.34299999999999997,0.32314667705591127,0.014038419282851593
0.316,0.32030393056966855,0.0030433384915687094
0.34299999999999997,0.32314667705591127,0.014038419282851593
0.272,0.2900273627480948,0.012747270446087587
0.26,0.2620974180413691,0.0014830985200350918
0.379,0.3890362786121431,0.007096720664523915
0.415,0.3792749946664994,0.025261393529243847
0.33,0.32560138747815187,0.003110288742010884
0.29600000000000004,0.2924850312997823,0.0024854582035824177
0.213,0.24667397346065378,0.023811094983524128
0.363,0.3582450809886596,0.003362235476911629
0.26,0.2620974180413691,0.0014830985200350918
0.237,0.2555332476301469,0.013104985076686391
0.29600000000000004,0.2924850312997823,0.0024854582035824177
0.213,0.24667397346065378,0.023811094983524128
0.386,0.3925573039732879,0.004636714105813372
0.379,0.3890362786121431,0.007096720664523915
0.409,0.3965448291559843,0.008807135764640442
0.272,0.2900273627480948,0.012747270446087587
0.363,0.3582450809886596,0.003362235476911629
0.237,0.2555332476301469,0.013104985076686391
0.34,0.33716043911358673,0.0020078727583749244
0.312,0.31955004890384126,0.0053386907781962116
0.409,0.3965448291559843,0.008807135764640442
0.424,0.41760912682338636,0.004519029760886711
0.312,0.31955004890384126,0.0053386907781962116
0.311,0.31243242393048776,0.0010128766747817817
0.28600000000000003,0.282625039355175,0.002386457558193487
