"True Tool wear
TWmax","Predicted Tool wear
TWmax",Std
0.299,0.29862082119941696,0.0002681199011744381
0.36,0.3566468175315855,0.0023710580619717278
0.26,0.26474017421245555,0.003351809329632914
0.409,0.40133344305992147,0.0054210744006822995
0.363,0.36246527172565446,0.00037810998888190524
0.324,0.3154031085968014,0.00607892020832609
0.26,0.26474017421245555,0.003351809329632914
0.221,0.22887739786624856,0.005570161449328793
0.34299999999999997,0.34152116910934527,0.0010456913510100824
0.36,0.3566468175315855,0.0023710580619717278
0.359,0.3574208044958117,0.0011166598498308416
0.33,0.3233663801336283,0.004690677591325251
0.316,0.3201446477460866,0.0029307085268873625
0.379,0.37934649001121523,0.00024500543654369064
0.213,0.22575905857801457,0.00902201684207049
0.226,0.23332645576000194,0.005180586549960607
0.221,0.22887739786624856,0.005570161449328793
0.424,0.40542599425792736,0.013133805414017428
0.28600000000000003,0.28288251954078714,0.0022043915729259905
0.312,0.3150118688869472,0.002129712914005152
0.237,0.23877973112583162,0.0012584599477643138
0.213,0.22575905857801457,0.00902201684207049
0.424,0.40542599425792736,0.013133805414017428
0.226,0.23332645576000194,0.005180586549960607
0.324,0.3154031085968014,0.00607892020832609
0.33,0.3233663801336283,0.004690677591325251
0.293,0.29125910321712467,0.0012309999205169777
0.312,0.3150118688869472,0.002129712914005152
0.445,0.43663762340068746,0.005913093200209604
0.272,0.25191542451858484,0.01420193952016174
0.316,0.3201446477460866,0.0029307085268873625
0.311,0.3126287272071838,0.0011516840529027076
0.29600000000000004,0.296247046575546,0.00017468830883747205
0.272,0.25191542451858484,0.01420193952016174
0.28600000000000003,0.28288251954078714,0.0022043915729259905
0.321,0.3306653271675106,0.006834418382533324
0.272,0.25191542451858484,0.01420193952016174
0.321,0.3306653271675106,0.006834418382533324
0.424,0.40542599425792736,0.013133805414017428
0.312,0.3150118688869472,0.002129712914005152
