"True Tool wear
TWmax","Predicted Tool wear
TWmax",Std
0.299,0.29944664,0.000315823868981118
0.36,0.36073864,0.0005222938619906509
0.26,0.26090035,0.0006366424766855418
0.409,0.4083869,0.0004335369822989259
0.363,0.36265054,0.0002471030953093012
0.324,0.32393122,4.863678883200276e-05
0.26,0.26090035,0.0006366424766855418
0.221,0.2224398,0.0010180893259729062
0.34299999999999997,0.34257734,0.00029886701171339845
0.36,0.36073864,0.0005222938619906509
0.359,0.3584766,0.00037009333123548495
0.33,0.32877776,0.0008642540032577316
0.316,0.3164793,0.00033891309270713335
0.379,0.37934798,0.0002460590335779943
0.213,0.21517812,0.0015401614112466884
0.226,0.22767791,0.0011864626140260439
0.221,0.2224398,0.0010180893259729062
0.424,0.420642,0.0023744726917420142
0.28600000000000003,0.28439504,0.0011348787489587997
0.312,0.31178874,0.0001493849526872244
0.237,0.23799446,0.0007031910017851056
0.213,0.21517812,0.0015401614112466884
0.424,0.420642,0.0023744726917420142
0.226,0.22767791,0.0011864626140260439
0.324,0.32393122,4.863678883200276e-05
0.33,0.32877776,0.0008642540032577316
0.293,0.2920632,0.0006624130829138249
0.312,0.31178874,0.0001493849526872244
0.445,0.44358525,0.0010003815804521512
0.272,0.22947085,0.030072651043923204
0.316,0.3164793,0.00033891309270713335
0.311,0.31123745,0.00016790562662206485
0.29600000000000004,0.2958991,7.135191713066779e-05
0.272,0.22947085,0.030072651043923204
0.28600000000000003,0.28439504,0.0011348787489587997
0.321,0.32413065,0.002213706909845093
0.272,0.22947085,0.030072651043923204
0.321,0.32413065,0.002213706909845093
0.424,0.420642,0.0023744726917420142
0.312,0.31178874,0.0001493849526872244
