"True Tool wear
TWmax","Predicted Tool wear
TWmax"
0.324,0.32396000000000064
0.213,0.22768000000000005
0.415,0.4067699999999994
0.28600000000000003,0.28480000000000044
0.213,0.22768000000000005
0.36,0.3632999999999996
0.445,0.36976000000000037
0.311,0.31512
0.379,0.3869499999999999
0.34,0.33651000000000003
0.316,0.31728999999999963
0.379,0.3869499999999999
0.33,0.3199799999999995
0.26,0.2650200000000005
0.26,0.2650200000000005
0.424,0.42195999999999967
0.29600000000000004,0.29821999999999965
0.221,0.2628300000000002
0.226,0.22794000000000003
0.34299999999999997,0.33864000000000016
0.312,0.3160300000000003
0.312,0.3160300000000003
0.221,0.2628300000000002
0.293,0.2907799999999995
0.221,0.2628300000000002
0.409,0.4031099999999996
0.379,0.3869499999999999
0.445,0.36976000000000037
0.359,0.3479200000000008
0.299,0.29317999999999966
