"True Tool wear
TWmax","Predicted Tool wear
TWmax",Std
0.312,0.31187917899852224,8.543334945467083e-05
0.415,0.3976828972580075,0.01224504077936705
0.293,0.29308353398938497,5.906745035368963e-05
0.29600000000000004,0.29590329534506643,6.8380517275861e-05
0.237,0.2373705145197701,0.0002619933294575179
0.321,0.38455319246908637,0.044938893360944795
0.409,0.4087091129300089,0.00020568821975018274
0.415,0.3976828972580075,0.01224504077936705
0.311,0.31195628486380933,0.0006761955119456322
0.379,0.3847671958671089,0.004078023306063726
0.29600000000000004,0.29590329534506643,6.8380517275861e-05
0.363,0.362915183338993,5.997443615566055e-05
0.272,0.2721340391845026,9.478001630647114e-05
0.311,0.31195628486380933,0.0006761955119456322
0.445,0.4420699807344481,0.0020718364916789897
0.386,0.38960762333353527,0.0025509749231095997
0.409,0.4087091129300089,0.00020568821975018274
0.379,0.3847671958671089,0.004078023306063726
0.213,0.22008235407132637,0.005007980590599033
0.316,0.31626772278697035,0.00018930859814489457
0.221,0.22390088840229158,0.0020512378607257854
0.34299999999999997,0.34082581611133833,0.0015373801712191837
0.415,0.3976828972580075,0.01224504077936705
0.26,0.2965014276867155,0.02581040704026692
0.26,0.2965014276867155,0.02581040704026692
0.26,0.2965014276867155,0.02581040704026692
0.226,0.22624466961190273,0.00017300754172669828
0.26,0.2965014276867155,0.02581040704026692
0.359,0.35721710003837565,0.0012607006530418062
0.29600000000000004,0.29590329534506643,6.8380517275861e-05
0.34299999999999997,0.34082581611133833,0.0015373801712191837
0.299,0.2990691039336372,4.886386008155607e-05
0.316,0.31626772278697035,0.00018930859814489457
0.221,0.22390088840229158,0.0020512378607257854
0.321,0.38455319246908637,0.044938893360944795
0.221,0.22390088840229158,0.0020512378607257854
0.321,0.38455319246908637,0.044938893360944795
0.33,0.3278669668410116,0.001508282211216489
0.213,0.22008235407132637,0.005007980590599033
0.293,0.29308353398938497,5.906745035368963e-05
